Price,Close,High,Low,Open,Volume
Ticker,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS
Date,,,,,
2026-05-18,280690.4375,288182.17515569396,261711.36877224199,269203.10642793594,33555214
2026-05-19,275196.5,281189.89019963704,265706.9655172414,273698.15245009074,30767569
2026-05-20,275695.96875,282188.80859375,263209.73828125,277693.765625,35662077
2026-05-21,299170.0625,299170.0625,286683.8328464107,290679.4263355593,36168689
2026-05-22,292177.78125,300168.9684294872,291678.33205128205,299669.51923076925,18395274
2026-05-26,298670.625,301667.3202341137,297172.27738294314,297671.7265886288,23441371
2026-05-27,306661.8125,322644.18709283386,305662.91408794787,321145.8394747557,33916688
2026-05-28,299170.0625,306162.35110601,287183.28203255427,304664.00354757934,30195334
2026-05-29,316650.78125,318648.5779771293,305163.4500690063,309159.043523265,37241537
2026-06-01,348615.53125,354109.47228689113,319148.02932485676,319148.02932485676,45052488
2026-06-02,360102.875,369592.4098474341,341623.25450762827,360102.875,44720282
2026-06-04,351112.78125,365596.8077880512,347616.636913229,348615.5352951636,34771037
2026-06-05,328637.5625,342622.1396276596,324641.9690349544,333132.6051481763,33725012
2026-06-08,295174.46875,315152.43617808796,292177.7736357868,292677.222821489,38929682
2026-06-09,321645.28125,323643.0780279503,299669.5166925466,309658.50058229815,30124249
2026-06-10,302166.75,314153.53016528924,294924.7369834711,310657.3859504132,1191
2026-06-11,298670.625,306162.3630852843,287183.29326923075,290179.9885033445,31420307
2026-06-12,322144.71875,338626.54156976746,319647.47286821704,325640.8629844961,31006148
2026-06-15,336628.75,344120.48775964393,333632.05489614245,342122.6910237389,21500067
2026-06-16,342622.15625,345119.4022868076,332133.72289540817,342622.15625,17548685
2026-06-17,346118.28125,347616.6287878788,331134.80587121216,331634.25505050505,18134051
2026-06-18,362100.65625,362600.10543103446,344120.48573275865,344619.9349137931,32764450
2026-06-19,353610.03125,374087.44831391243,345868.56870144774,372089.65152718924,43284898
2026-06-22,353110.59375,362600.128801273,341623.26184582745,342622.16027227725,24330451
2026-06-23,309658.5,352611.13064516126,309658.5,347117.18951612903,41266630
2026-06-24,340124.90625,340624.35545154184,313654.098568282,313654.098568282,47809959
2026-06-25,358105.0625,362100.6559449093,351612.2231520223,359103.96086122736,36157158
2026-06-26,339126.0,356107.27245949925,321145.8291605302,353610.02650957287,39735951
2026-06-29,323000.0,335500.0,316000.0,331000.0,35436521
2026-06-30,334000.0,343000.0,321000.0,323500.0,29237216
2026-07-01,314500.0,339000.0,311500.0,334500.0,24968382
2026-07-02,286000.0,304000.0,281500.0,290000.0,38905074
2026-07-03,309500.0,313000.0,283500.0,288500.0,31520538
2026-07-06,318000.0,325000.0,303000.0,320000.0,23872879
2026-07-07,296000.0,310000.0,286000.0,307000.0,32421032
2026-07-08,277500.0,300000.0,273500.0,285500.0,33525758
2026-07-09,278000.0,291500.0,267500.0,288500.0,29703616
2026-07-10,285000.0,298000.0,282000.0,291000.0,20088811
2026-07-13,254500.0,292500.0,253000.0,285000.0,31882652
2026-07-14,263000.0,270000.0,247000.0,255000.0,40086496
2026-07-15,279500.0,284500.0,273000.0,283500.0,24873414
2026-07-16,255000.0,265500.0,252500.0,264500.0,27001478
2026-07-20,244000.0,257500.0,240000.0,241000.0,26804038
2026-07-21,259000.0,263500.0,243000.0,247000.0,20386896
2026-07-22,260500.0,276000.0,260000.0,276000.0,22292003
2026-07-23,270000.0,273000.0,263000.0,269000.0,16011816
2026-07-24,249500.0,266500.0,247000.0,266000.0,26175580
2026-07-27,254000.0,258500.0,246000.0,257000.0,23296044
2026-07-28,220000.0,240000.0,218500.0,238500.0,41639623
2026-07-29,208500.0,234000.0,189200.0,226500.0,65555523
2026-07-30,207000.0,226000.0,202000.0,214000.0,46694193
2026-07-31,262500.0,267000.0,243000.0,257000.0,58478873
2026-08-03,239500.0,249500.0,238000.0,248000.0,27825493
2026-08-04,240000.0,244500.0,228000.0,244500.0,29433821
2026-08-05,246000.0,254500.0,244000.0,254000.0,22577128
2026-08-06,230500.0,246000.0,228000.0,241500.0,26101823
2026-08-07,231000.0,239500.0,229000.0,235000.0,20546010
2026-08-10,230000.0,238500.0,228500.0,236000.0,16327805
2026-08-11,239500.0,243000.0,227500.0,229500.0,23310969
2026-08-12,255500.0,260500.0,241000.0,243500.0,27102479
2026-08-13,268000.0,271000.0,262500.0,267500.0,35530867
