Price,Close,High,Low,Open,Volume
Ticker,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS
Datetime,,,,,
2026-08-28 11:23:00+09:00,260000.0,260500.0,259500.0,260500.0,58769
2026-08-28 11:24:00+09:00,260250.0,260500.0,260000.0,260250.0,2407
2026-08-28 11:25:00+09:00,260500.0,260500.0,260000.0,260250.0,2227
2026-08-28 11:26:00+09:00,260500.0,260500.0,260000.0,260000.0,15663
2026-08-28 11:27:00+09:00,260500.0,260500.0,260000.0,260000.0,16773
2026-08-28 11:28:00+09:00,260000.0,260500.0,260000.0,260500.0,4123
2026-08-28 11:29:00+09:00,260000.0,260500.0,260000.0,260000.0,6202
2026-08-28 11:30:00+09:00,260500.0,260500.0,260000.0,260000.0,5507
2026-08-28 11:31:00+09:00,260000.0,260500.0,260000.0,260000.0,18325
2026-08-28 11:32:00+09:00,260500.0,260500.0,259500.0,260000.0,66166
2026-08-28 11:33:00+09:00,260000.0,260500.0,259500.0,260250.0,24073
2026-08-28 11:34:00+09:00,259500.0,260000.0,259500.0,260000.0,5768
2026-08-28 11:35:00+09:00,259500.0,260000.0,259500.0,259750.0,5214
2026-08-28 11:36:00+09:00,260000.0,260000.0,259500.0,259500.0,20433
2026-08-28 11:37:00+09:00,259750.0,260000.0,259500.0,260000.0,4122
2026-08-28 11:38:00+09:00,260000.0,260000.0,259500.0,260000.0,33374
2026-08-28 11:39:00+09:00,259500.0,260000.0,259500.0,260000.0,22544
2026-08-28 11:40:00+09:00,260000.0,260000.0,259500.0,259500.0,11350
2026-08-28 11:41:00+09:00,259750.0,260500.0,259500.0,259500.0,33966
2026-08-28 11:42:00+09:00,260000.0,260000.0,259500.0,260000.0,14494
2026-08-28 11:43:00+09:00,260000.0,260000.0,259500.0,260000.0,3293
2026-08-28 11:44:00+09:00,259750.0,260000.0,259500.0,259500.0,5113
2026-08-28 11:45:00+09:00,259500.0,260000.0,259500.0,259500.0,23993
2026-08-28 11:46:00+09:00,260000.0,260000.0,259500.0,260000.0,16569
2026-08-28 11:47:00+09:00,259500.0,260000.0,259500.0,259500.0,6275
2026-08-28 11:48:00+09:00,260000.0,260000.0,259500.0,259500.0,22099
2026-08-28 11:49:00+09:00,260000.0,260000.0,259500.0,259750.0,6563
2026-08-28 11:50:00+09:00,260000.0,260000.0,259500.0,259500.0,31898
2026-08-28 11:51:00+09:00,260000.0,260000.0,259500.0,260000.0,5135
2026-08-28 11:52:00+09:00,259500.0,260000.0,259500.0,259500.0,6156
2026-08-28 11:53:00+09:00,260000.0,260000.0,259500.0,259500.0,16842
2026-08-28 11:54:00+09:00,259500.0,260000.0,259500.0,260000.0,6926
